"filename", "language", "vue", "Markdown", "TypeScript", "SCSS", "HTML", "JSON", "YAML", "comment", "blank", "total"
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\relationsStore.ts", "TypeScript", 0, 0, -27, 0, 0, 0, 0, 6, -4, -25
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\rumorStore.ts", "TypeScript", 0, 0, 151, 0, 0, 0, 0, 13, 22, 186
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\shelterStore.ts", "TypeScript", 0, 0, -68, 0, 0, 0, 0, 8, -15, -75
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\signInStore.ts", "TypeScript", 0, 0, -38, 0, 0, 0, 0, -7, -6, -51
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\skillStore.ts", "TypeScript", 0, 0, -30, 0, 0, 0, 0, -9, -5, -44
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\timeStore.ts", "TypeScript", 0, 0, -5, 0, 0, 0, 0, -6, 1, -10
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\systems\weatherStore.ts", "TypeScript", 0, 0, -25, 0, 0, 0, 0, 2, -4, -27
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\actionStore.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, -1, 3, 29
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\confirmStore.ts", "TypeScript", 0, 0, 47, 0, 0, 0, 0, 0, 8, 55
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\detailsStore.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 1, 3, 38
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\historyStore.ts", "TypeScript", 0, 0, -25, 0, 0, 0, 0, 96, 3, 74
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\mainMenuStore.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 4, 3, 15
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\settingsStore.ts", "TypeScript", 0, 0, -36, 0, 0, 0, 0, -3, -1, -40
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\setupStore.ts", "TypeScript", 0, 0, 75, 0, 0, 0, 0, 3, 8, 86
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\stores\ui\storyStore.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 11, 3, 30
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-0楼版本\types.ts", "TypeScript", 0, 0, 129, 0, 0, 0, 0, 3, 16, 148
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-Vue版本\App.vue", "vue", -32, 0, 0, 0, 0, 0, 0, 0, -5, -37
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-Vue版本\components\CharacterStatus.vue", "vue", -56, 0, 0, 0, 0, 0, 0, 0, -7, -63
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-Vue版本\components\WorldInfo.vue", "vue", -34, 0, 0, 0, 0, 0, 0, 0, -5, -39
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-Vue版本\index.html", "HTML", 0, 0, 0, 0, -11, 0, 0, 0, -1, -12
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-Vue版本\index.ts", "TypeScript", 0, 0, -9, 0, 0, 0, 0, -1, -3, -13
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-Vue版本\stores\characterStore.ts", "TypeScript", 0, 0, -126, 0, 0, 0, 0, -19, -16, -161
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-Vue版本\stores\worldStore.ts", "TypeScript", 0, 0, -105, 0, 0, 0, 0, -5, -12, -122
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-第一条消息\FirstMes.html", "HTML", 0, 0, 0, 0, -283, 0, 0, -39, -22, -344
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-第一条消息\FirstMes.scss", "SCSS", 0, 0, 0, -219, 0, 0, 0, -12, -36, -267
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-第一条消息\FirstMes.ts", "TypeScript", 0, 0, -15, 0, 0, 0, 0, -2, -4, -21
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-第一条消息\Test.html", "HTML", 0, 0, 0, 0, -818, 0, 0, -29, -111, -958
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-第一条消息\core\chat.ts", "TypeScript", 0, 0, -117, 0, 0, 0, 0, -10, -13, -140
"k:\AiChat\tavern_helper_template\src\什么我要在玄幻修仙世界种田-第一条消息\core\main.ts", "TypeScript", 0, 0, -285, 0, 0, 0, 0, -25, -41, -351
